% f evaluations | g evaluations | best noise-free fitness - Fopt (3.820000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.053922361e+02 +2.092122361e+02 +2.092122361e+02 +2.4609e+00 +1.5577e+00 +1.5482e-01 -1.0083e-02 +9.1044e-01
9 0 +1.226598726e+02 +1.264798726e+02 +1.264798726e+02 +1.5259e+00 +3.1693e+00 +3.1295e+00 +2.1923e+00 -4.0902e-02
11 0 +7.119422902e+01 +7.501422902e+01 +7.501422902e+01 +9.1914e-01 +2.5817e+00 +2.3105e+00 -9.7674e-01 -2.2254e-01
12 0 +3.710655160e+01 +4.092655160e+01 +4.092655160e+01 +2.1725e+00 -2.8452e-01 +3.2833e+00 -1.1347e+00 +9.6949e-01
17 0 +1.234105921e+01 +1.616105921e+01 +1.616105921e+01 +3.2638e+00 +1.0981e-01 +2.6207e+00 -2.4515e-01 -3.6257e-01
59 0 +7.197538315e+00 +1.101753831e+01 +1.101753831e+01 +3.2485e+00 +7.7059e-01 +2.0513e+00 -1.4452e+00 -4.0574e-01
83 0 +4.707879015e+00 +8.527879015e+00 +8.527879015e+00 +3.5452e+00 +1.2063e-01 +2.6256e+00 +7.3016e-01 -1.5822e-01
116 0 +2.922601115e+00 +6.742601115e+00 +6.742601115e+00 +3.5764e+00 +9.9154e-01 +2.2740e+00 -8.2417e-01 +4.3049e-01
153 0 +1.243888728e+00 +5.063888728e+00 +5.063888728e+00 +3.6626e+00 +9.7549e-01 +2.1251e+00 -1.1685e+00 +5.5542e-01
171 0 +1.046687030e+00 +4.866687030e+00 +4.866687030e+00 +3.6769e+00 +6.3268e-01 +2.2829e+00 -1.5233e+00 +4.5430e-01
193 0 +4.666181632e-01 +4.286618163e+00 +4.286618163e+00 +3.7618e+00 +7.6536e-01 +2.2376e+00 -1.6849e+00 +7.2159e-01
200 0 +4.666181632e-01 +4.286618163e+00 +4.286618163e+00 +3.7618e+00 +7.6536e-01 +2.2376e+00 -1.6849e+00 +7.2159e-01
